FILE 	 0 	 1 	 2 	 3 	 4 	 5

../numbers/100000000numbers.txt 	 55800695 	 47915983 	 49380516 	 54880060 	 35270753 	 38499249
../numbers/10000000numbers.txt 	 8253766 	 8339845 	 8177723 	 10461721 	 13866299 	 19664064
../numbers/1000000numbers.txt 	 3275308 	 3703018 	 6454499 	 11020422 	 8971806 	 14840667
../numbers/100000numbers.txt 	 1308388 	 2231953 	 23379335 	 16824956 	 2224382 	 7466796
../numbers/10000numbers.txt 	 165198 	 761855 	 1589710 	 7947188 	 21156400 	 29641757
../numbers/1000numbers.txt 	 19364 	 325641 	 5342516 	 4555004 	 19669909 	 22126871
../numbers/5numbers.txt 	 2168 	 260714 	 603511 	 9186256 	 7784572 	 10921017
../numbers/NumbersGenerator.class 	 	 	 	 	 	
../numbers/NumbersGenerator.java 	 	 	 	 	 	
